symbol,token
ABBOTINDIA-EQ,17903
ACC-EQ,22
APLAPOLLO-EQ,25780
AUBANK-EQ,21238
ADANIENSOL-EQ,10217
ADANIENT-EQ,25
ADANIGREEN-EQ,3563
ADANIPORTS-EQ,15083
ADANIPOWER-EQ,17388
ATGL-EQ,6066
ABCAPITAL-EQ,21614
ABFRL-EQ,30108
ALKEM-EQ,11703
AMBUJACEM-EQ,1270
APOLLOHOSP-EQ,157
APOLLOTYRE-EQ,163
ASHOKLEY-EQ,212
ASIANPAINT-EQ,236
ASTRAL-EQ,14418
AUROPHARMA-EQ,275
DMART-EQ,19913
AXISBANK-EQ,5900
BSE-EQ,19585
BAJAJ-AUTO-EQ,16669
BAJFINANCE-EQ,317
BAJAJFINSV-EQ,16675
BAJAJHLDNG-EQ,305
BAJAJHFL-EQ,25270
BANDHANBNK-EQ,2263
BANKBARODA-EQ,4668
BANKINDIA-EQ,4745
MAHABANK-EQ,11377
BDL-EQ,2144
BEL-EQ,383
BHARATFORG-EQ,422
BHEL-EQ,438
BPCL-EQ,526
BHARTIARTL-EQ,10604
BHARTIHEXA-EQ,23489
BIOCON-EQ,11373
BOSCHLTD-EQ,2181
BRITANNIA-EQ,547
CGPOWER-EQ,760
CANBK-EQ,10794
CHOLAFIN-EQ,685
CIPLA-EQ,694
COALINDIA-EQ,20374
COCHINSHIP-EQ,21508
COFORGE-EQ,11543
COLPAL-EQ,15141
CONCOR-EQ,4749
CUMMINSIND-EQ,1901
DLF-EQ,14732
DABUR-EQ,772
DIVISLAB-EQ,10940
DIXON-EQ,21690
DRREDDY-EQ,881
EICHERMOT-EQ,910
ESCORTS-EQ,958
ETERNAL-EQ,5097
EXIDEIND-EQ,676
NYKAA-EQ,6545
FEDERALBNK-EQ,1023
GAIL-EQ,4717
GMRAIRPORT-EQ,13528
GLENMARK-EQ,7406
GODREJCP-EQ,10099
GODREJPROP-EQ,17875
GRASIM-EQ,1232
HCLTECH-EQ,7229
HDFCAMC-EQ,4244
HDFCBANK-EQ,1333
HDFCLIFE-EQ,467
HAVELLS-EQ,9819
HEROMOTOCO-EQ,1348
HINDALCO-EQ,1363
HAL-EQ,2303
HINDPETRO-EQ,1406
HINDUNILVR-EQ,1394
HINDZINC-EQ,1424
HUDCO-EQ,20825
HYUNDAI-EQ,25844
ICICIBANK-EQ,4963
ICICIGI-EQ,21770
ICICIPRULI-EQ,18652
IDFCFIRSTB-EQ,11184
IRB-EQ,15313
ITC-EQ,1660
INDIANB-EQ,14309
INDHOTEL-EQ,1512
IOC-EQ,1624
IRCTC-EQ,13611
IRFC-EQ,2029
IREDA-EQ,20261
IGL-EQ,11262
INDUSTOWER-EQ,29135
INDUSINDBK-EQ,5258
NAUKRI-EQ,13751
INFY-EQ,1594
INDIGO-EQ,11195
JSWENERGY-EQ,17869
JSWSTEEL-EQ,11723
JINDALSTEL-EQ,6733
JIOFIN-EQ,18143
JUBLFOOD-EQ,18096
KPITTECH-EQ,9683
KALYANKJIL-EQ,2955
KOTAKBANK-EQ,1922
LTF-EQ,24948
LICHSGFIN-EQ,1997
LTIM-EQ,17818
LT-EQ,11483
LICI-EQ,9480
LUPIN-EQ,10440
MRF-EQ,2277
LODHA-EQ,3220
MANKIND-EQ,15380
MARICO-EQ,4067
MARUTI-EQ,10999
MFSL-EQ,2142
MAXHEALTH-EQ,22377
MAZDOCK-EQ,509
MOTILALOFS-EQ,14947
MPHASIS-EQ,4503
MUTHOOTFIN-EQ,23650
NHPC-EQ,17400
NMDC-EQ,15332
NTPCGREEN-EQ,27176
NTPC-EQ,11630
NATIONALUM-EQ,6364
NESTLEIND-EQ,17963
OBEROIRLTY-EQ,20242
ONGC-EQ,2475
OIL-EQ,17438
OLAELEC-EQ,24777
PAYTM-EQ,6705
OFSS-EQ,10738
POLICYBZR-EQ,6656
PIIND-EQ,24184
PAGEIND-EQ,14413
PATANJALI-EQ,17029
PERSISTENT-EQ,18365
PETRONET-EQ,11351
PHOENIXLTD-EQ,14552
PIDILITIND-EQ,2664
POLYCAB-EQ,9590
PFC-EQ,14299
POWERGRID-EQ,14977
PREMIERENE-EQ,25049
PRESTIGE-EQ,20302
PNB-EQ,10666
RECLTD-EQ,15355
RVNL-EQ,9552
RELIANCE-EQ,2885
SBICARD-EQ,17971
SBILIFE-EQ,21808
SJVN-EQ,18883
SRF-EQ,3273
MOTHERSON-EQ,4204
SHREECEM-EQ,3103
SHRIRAMFIN-EQ,4306
SIEMENS-EQ,3150
SOLARINDS-EQ,13332
SONACOMS-EQ,4684
SBIN-EQ,3045
SAIL-EQ,2963
SUNPHARMA-EQ,3351
SUPREMEIND-EQ,3363
SUZLON-EQ,12018
SWIGGY-EQ,27066
TVSMOTOR-EQ,8479
TATACOMM-EQ,3721
TCS-EQ,11536
TATACONSUM-EQ,3432
TATAELXSI-EQ,3411
TATAMOTORS-EQ,3456
TATAPOWER-EQ,3426
TATASTEEL-EQ,3499
TATATECH-EQ,20293
TECHM-EQ,13538
TITAN-EQ,3506
TORNTPHARM-EQ,3518
TORNTPOWER-EQ,13786
TRENT-EQ,1964
TIINDIA-EQ,312
UPL-EQ,11287
ULTRACEMCO-EQ,11532
UNIONBANK-EQ,10753
UNITDSPR-EQ,10447
VBL-EQ,18921
VEDL-EQ,3063
VMM-EQ,27969
IDEA-EQ,14366
VOLTAS-EQ,3718
WAAREEENER-EQ,25907
WIPRO-EQ,3787
YESBANK-EQ,11915
ZYDUSLIFE-EQ,7929
